RemediationActivityId,CveId,DeviceId,StartDateKey,CompletionDateKey,RemediationStatus,AssignedTo,Priority,DaysOpen
ra-0000,CVE-2020-2604,device-0016,20240516,,In Progress,David Brown,Medium,289
ra-0001,CVE-2022-6031,device-0029,20240324,20240325.0,Completed,Alice Williams,Low,1
ra-0002,CVE-2023-3645,device-0062,20240612,20240621.0,Completed,Alice Williams,High,9
ra-0003,CVE-2024-1669,device-0077,20240804,20240814.0,Completed,Jane Doe,Medium,10
ra-0004,CVE-2023-7538,device-0067,20240212,20240226.0,Completed,Bob Johnson,Medium,14
ra-0005,CVE-2022-2356,device-0036,20240802,,In Progress,Jane Doe,Medium,211
ra-0006,CVE-2022-9135,device-0099,20240319,,In Progress,Bob Johnson,High,347
ra-0007,CVE-2022-2548,device-0050,20240118,20240203.0,Completed,Jane Doe,Medium,16
ra-0008,CVE-2020-1575,device-0078,20240412,,In Progress,David Brown,Medium,323
ra-0009,CVE-2022-9667,device-0012,20241116,,In Progress,John Smith,Critical,105
ra-0010,CVE-2024-3672,device-0063,20240201,,Planned,Alice Williams,High,394
ra-0011,CVE-2023-4959,device-0062,20240316,,In Progress,David Brown,Low,350
ra-0012,CVE-2023-7610,device-0054,20240830,20240927.0,Completed,Jane Doe,High,28
ra-0013,CVE-2021-3834,device-0070,20240215,,Not Started,Jane Doe,High,380
ra-0014,CVE-2023-9143,device-0069,20241222,20250201.0,Completed,Jane Doe,Medium,41
ra-0015,CVE-2022-2455,device-0036,20240521,20240629.0,Completed,Bob Johnson,Medium,39
ra-0016,CVE-2021-6341,device-0057,20240118,,In Progress,Jane Doe,Critical,408
ra-0017,CVE-2020-7609,device-0091,20241015,,In Progress,Jane Doe,Medium,137
ra-0018,CVE-2024-2449,device-0085,20241120,20241206.0,Completed,Alice Williams,Medium,16
ra-0019,CVE-2023-1619,device-0062,20240217,20240229.0,Completed,Jane Doe,Medium,12
ra-0020,CVE-2020-6574,device-0027,20240320,,In Progress,David Brown,Low,346
ra-0021,CVE-2023-1785,device-0025,20240128,,Not Started,John Smith,High,398
ra-0022,CVE-2024-8415,device-0077,20241102,20241204.0,Completed,Jane Doe,High,32
ra-0023,CVE-2021-1968,device-0053,20250106,20250126.0,Completed,John Smith,High,20
ra-0024,CVE-2023-3743,device-0071,20240606,20240710.0,Completed,Alice Williams,Medium,34
ra-0025,CVE-2023-2555,device-0014,20250104,20250117.0,Completed,John Smith,Medium,13
ra-0026,CVE-2021-3606,device-0057,20241212,20250109.0,Completed,John Smith,Medium,28
ra-0027,CVE-2021-4356,device-0047,20240417,20240526.0,Completed,Alice Williams,High,39
ra-0028,CVE-2022-2165,device-0088,20240214,20240228.0,Completed,David Brown,Low,14
ra-0029,CVE-2021-8274,device-0055,20241006,,In Progress,David Brown,High,146
ra-0030,CVE-2022-7284,device-0053,20240203,20240205.0,Completed,John Smith,Critical,2
ra-0031,CVE-2020-2577,device-0093,20240627,20240717.0,Completed,Alice Williams,Low,20
ra-0032,CVE-2024-7099,device-0073,20241023,20241110.0,Completed,Jane Doe,High,18
ra-0033,CVE-2022-7012,device-0023,20240128,20240307.0,Completed,Jane Doe,Critical,39
ra-0034,CVE-2024-9125,device-0045,20241120,20241130.0,Completed,Jane Doe,Low,10
ra-0035,CVE-2023-4054,device-0036,20240717,20240821.0,Completed,Bob Johnson,Medium,35
ra-0036,CVE-2021-9033,device-0023,20241205,,In Progress,John Smith,High,86
ra-0037,CVE-2023-6409,device-0047,20240611,20240720.0,Completed,John Smith,High,39
ra-0038,CVE-2022-4778,device-0028,20250114,,Not Started,John Smith,Medium,46
ra-0039,CVE-2022-4638,device-0056,20240707,20240808.0,Completed,David Brown,Medium,32
ra-0040,CVE-2020-1054,device-0026,20240502,,Planned,John Smith,Low,303
ra-0041,CVE-2024-2449,device-0080,20240323,,In Progress,Bob Johnson,Low,343
ra-0042,CVE-2024-8479,device-0003,20241028,20241108.0,Completed,Bob Johnson,Low,11
ra-0043,CVE-2021-2750,device-0055,20240207,20240308.0,Completed,Bob Johnson,Medium,30
ra-0044,CVE-2022-7591,device-0007,20241123,20241209.0,Completed,John Smith,Critical,16
ra-0045,CVE-2023-7538,device-0086,20240722,,In Progress,John Smith,Medium,222
ra-0046,CVE-2020-6574,device-0063,20240914,,Not Started,Alice Williams,Medium,168
ra-0047,CVE-2021-8870,device-0068,20240406,,In Progress,David Brown,Low,329
ra-0048,CVE-2023-7610,device-0064,20240307,20240407.0,Completed,Bob Johnson,High,31
ra-0049,CVE-2020-7731,device-0071,20250115,20250212.0,Completed,Bob Johnson,Critical,28
ra-0050,CVE-2022-9135,device-0079,20240317,20240322.0,Completed,Alice Williams,High,5
ra-0051,CVE-2020-6793,device-0035,20241016,20241119.0,Completed,Bob Johnson,Low,34
ra-0052,CVE-2020-8901,device-0004,20241210,,In Progress,Jane Doe,High,81
ra-0053,CVE-2020-6472,device-0090,20240725,20240810.0,Completed,David Brown,Medium,16
ra-0054,CVE-2022-5263,device-0065,20241029,,Not Started,Jane Doe,Medium,123
ra-0055,CVE-2023-2646,device-0005,20240114,20240222.0,Completed,Alice Williams,Low,39
ra-0056,CVE-2024-7683,device-0026,20240919,20241022.0,Completed,John Smith,Low,33
ra-0057,CVE-2021-6238,device-0078,20240124,20240207.0,Completed,John Smith,Low,14
ra-0058,CVE-2020-4186,device-0019,20250105,20250121.0,Completed,Alice Williams,Low,16
ra-0059,CVE-2021-8274,device-0072,20241009,,Not Started,Jane Doe,High,143
ra-0060,CVE-2020-5937,device-0016,20240218,20240307.0,Completed,Jane Doe,Low,18
ra-0061,CVE-2020-6472,device-0012,20241108,20241128.0,Completed,Alice Williams,Medium,20
ra-0062,CVE-2020-6760,device-0034,20240307,,In Progress,David Brown,High,359
ra-0063,CVE-2023-6409,device-0093,20241208,20241222.0,Completed,John Smith,High,14
ra-0064,CVE-2020-4186,device-0069,20241003,,In Progress,Bob Johnson,Low,149
ra-0065,CVE-2022-7413,device-0096,20241021,,In Progress,David Brown,Medium,131
ra-0066,CVE-2022-2455,device-0055,20240712,,Not Started,Alice Williams,High,232
ra-0067,CVE-2021-3989,device-0070,20240728,20240907.0,Completed,John Smith,Medium,41
ra-0068,CVE-2022-9135,device-0056,20241209,,In Progress,Jane Doe,High,82
ra-0069,CVE-2021-4267,device-0053,20240515,,Planned,Alice Williams,Low,290
ra-0070,CVE-2023-7538,device-0092,20241002,,In Progress,Bob Johnson,Low,150
ra-0071,CVE-2021-2750,device-0024,20241103,20241121.0,Completed,David Brown,Medium,18
ra-0072,CVE-2024-1294,device-0047,20240221,20240320.0,Completed,David Brown,Low,28
ra-0073,CVE-2024-9182,device-0015,20240204,,Planned,John Smith,Critical,391
ra-0074,CVE-2022-4390,device-0051,20240519,20240610.0,Completed,John Smith,Low,22
ra-0075,CVE-2023-1955,device-0078,20250119,20250127.0,Completed,Jane Doe,High,8
ra-0076,CVE-2023-3187,device-0093,20240725,,Not Started,Jane Doe,High,219
ra-0077,CVE-2024-7099,device-0037,20240616,20240725.0,Completed,John Smith,High,39
ra-0078,CVE-2021-4699,device-0038,20241017,,Not Started,John Smith,Medium,135
ra-0079,CVE-2021-3297,device-0012,20240525,20240526.0,Completed,Alice Williams,Low,1
ra-0080,CVE-2021-7024,device-0047,20241206,,Planned,David Brown,High,85
ra-0081,CVE-2020-6574,device-0018,20240123,20240306.0,Completed,Alice Williams,Medium,43
ra-0082,CVE-2022-9946,device-0068,20240831,20240911.0,Completed,David Brown,Low,11
ra-0083,CVE-2024-5357,device-0022,20240218,20240226.0,Completed,Jane Doe,Low,8
ra-0084,CVE-2021-4267,device-0061,20240605,,In Progress,David Brown,Low,269
ra-0085,CVE-2021-8638,device-0032,20240129,20240221.0,Completed,Jane Doe,Critical,23
ra-0086,CVE-2023-1770,device-0092,20240621,,Not Started,Jane Doe,High,253
ra-0087,CVE-2024-1687,device-0049,20241116,20241207.0,Completed,Bob Johnson,Medium,21
ra-0088,CVE-2024-8415,device-0098,20250124,,Planned,David Brown,High,36
ra-0089,CVE-2023-8295,device-0064,20241007,20241120.0,Completed,Jane Doe,Critical,44
ra-0090,CVE-2022-2548,device-0094,20241026,20241114.0,Completed,John Smith,Medium,19
ra-0091,CVE-2021-2932,device-0026,20240113,,Not Started,Jane Doe,Low,413
ra-0092,CVE-2020-5795,device-0096,20241006,20241117.0,Completed,Jane Doe,Critical,42
ra-0093,CVE-2021-6238,device-0008,20250120,20250219.0,Completed,Bob Johnson,Low,30
ra-0094,CVE-2023-7610,device-0099,20240113,,In Progress,John Smith,High,413
ra-0095,CVE-2023-4456,device-0069,20240527,20240703.0,Completed,Jane Doe,High,37
ra-0096,CVE-2021-3834,device-0061,20240403,20240515.0,Completed,Jane Doe,High,42
ra-0097,CVE-2022-3242,device-0026,20240128,20240310.0,Completed,Alice Williams,Medium,42
ra-0098,CVE-2021-9467,device-0078,20240701,,Planned,David Brown,Low,243
ra-0099,CVE-2020-9835,device-0088,20241123,20241216.0,Completed,Alice Williams,Critical,23
ra-0100,CVE-2021-1674,device-0077,20241105,20241206.0,Completed,Bob Johnson,Low,31
ra-0101,CVE-2021-4267,device-0011,20240222,,Planned,Alice Williams,Low,373
ra-0102,CVE-2020-8901,device-0027,20240807,20240814.0,Completed,Bob Johnson,High,7
ra-0103,CVE-2024-5090,device-0066,20241012,,Planned,Jane Doe,Critical,140
ra-0104,CVE-2024-9125,device-0077,20241023,,Planned,David Brown,Medium,129
ra-0105,CVE-2020-9569,device-0011,20240322,20240412.0,Completed,David Brown,Medium,21
ra-0106,CVE-2024-1139,device-0039,20241228,20250105.0,Completed,John Smith,High,8
ra-0107,CVE-2020-6760,device-0076,20240223,,Not Started,John Smith,High,372
ra-0108,CVE-2024-2449,device-0059,20241224,20241225.0,Completed,Alice Williams,Medium,1
ra-0109,CVE-2022-8480,device-0017,20241111,20241205.0,Completed,Jane Doe,Critical,24
ra-0110,CVE-2021-8870,device-0024,20240219,,Planned,Jane Doe,Low,376
ra-0111,CVE-2022-2724,device-0040,20240403,20240509.0,Completed,John Smith,Low,36
ra-0112,CVE-2023-2080,device-0015,20241209,20241217.0,Completed,Jane Doe,Critical,8
ra-0113,CVE-2023-9676,device-0067,20240711,,In Progress,John Smith,High,233
ra-0114,CVE-2020-7609,device-0002,20241120,,In Progress,Alice Williams,Medium,101
ra-0115,CVE-2021-9554,device-0093,20240429,20240603.0,Completed,John Smith,Medium,35
ra-0116,CVE-2021-8629,device-0037,20250128,,Not Started,Alice Williams,Medium,32
ra-0117,CVE-2022-8480,device-0091,20240911,,Planned,John Smith,Critical,171
ra-0118,CVE-2021-6482,device-0014,20240417,,Planned,Jane Doe,Medium,318
ra-0119,CVE-2022-2548,device-0003,20240602,,In Progress,Bob Johnson,Medium,272
ra-0120,CVE-2021-9070,device-0085,20240820,20240904.0,Completed,David Brown,Medium,15
ra-0121,CVE-2020-5795,device-0084,20240706,20240711.0,Completed,John Smith,Critical,5
ra-0122,CVE-2020-7980,device-0017,20240528,20240701.0,Completed,John Smith,Low,34
ra-0123,CVE-2024-5090,device-0023,20240811,20240918.0,Completed,Alice Williams,Critical,38
ra-0124,CVE-2021-3606,device-0058,20240828,,Planned,Alice Williams,Medium,185
ra-0125,CVE-2024-3672,device-0042,20240209,20240319.0,Completed,David Brown,High,39
ra-0126,CVE-2022-9252,device-0067,20241006,20241008.0,Completed,Alice Williams,Critical,2
ra-0127,CVE-2022-6842,device-0022,20240725,,In Progress,Bob Johnson,High,219
ra-0128,CVE-2022-2724,device-0052,20240910,,Not Started,Alice Williams,Low,172
ra-0129,CVE-2022-7241,device-0042,20241224,20241229.0,Completed,Bob Johnson,Medium,5
ra-0130,CVE-2024-5557,device-0079,20240601,,In Progress,David Brown,Low,273
ra-0131,CVE-2024-7683,device-0085,20250110,20250218.0,Completed,Alice Williams,Medium,39
ra-0132,CVE-2023-1619,device-0060,20240501,,In Progress,Jane Doe,Low,304
ra-0133,CVE-2020-1575,device-0007,20241215,,In Progress,John Smith,Medium,76
ra-0134,CVE-2020-7609,device-0085,20240525,,In Progress,John Smith,Medium,280
ra-0135,CVE-2021-9070,device-0093,20240314,20240327.0,Completed,John Smith,Medium,13
ra-0136,CVE-2023-1785,device-0062,20240521,20240529.0,Completed,Bob Johnson,Medium,8
ra-0137,CVE-2021-4093,device-0032,20241217,,In Progress,Jane Doe,Medium,74
ra-0138,CVE-2024-8415,device-0045,20240702,,In Progress,Bob Johnson,High,242
ra-0139,CVE-2020-9569,device-0080,20250108,20250204.0,Completed,John Smith,Low,27
ra-0140,CVE-2023-6409,device-0096,20240107,,In Progress,John Smith,High,419
ra-0141,CVE-2020-7588,device-0057,20250126,,Planned,Jane Doe,Low,34
ra-0142,CVE-2022-7645,device-0025,20240930,20241020.0,Completed,Bob Johnson,Medium,20
ra-0143,CVE-2020-9984,device-0097,20240621,20240714.0,Completed,Bob Johnson,Low,23
ra-0144,CVE-2020-7124,device-0067,20240830,20241010.0,Completed,Alice Williams,Medium,41
ra-0145,CVE-2023-3428,device-0087,20240820,,Not Started,John Smith,Medium,193
ra-0146,CVE-2024-8686,device-0048,20240303,,In Progress,John Smith,Low,363
ra-0147,CVE-2022-6445,device-0068,20240109,20240206.0,Completed,Alice Williams,Medium,28
ra-0148,CVE-2022-7353,device-0014,20240513,,Planned,David Brown,High,292
ra-0149,CVE-2021-3989,device-0029,20240408,20240420.0,Completed,David Brown,Low,12
ra-0150,CVE-2024-1294,device-0084,20240229,,In Progress,Jane Doe,Low,366
ra-0151,CVE-2024-5357,device-0028,20240421,,In Progress,David Brown,Low,314
ra-0152,CVE-2020-8901,device-0017,20250109,20250216.0,Completed,Alice Williams,Medium,38
ra-0153,CVE-2024-1687,device-0083,20240719,,Planned,David Brown,Medium,225
ra-0154,CVE-2020-6760,device-0008,20240902,20240921.0,Completed,Bob Johnson,High,19
ra-0155,CVE-2023-1619,device-0099,20240127,,In Progress,Jane Doe,Medium,399
ra-0156,CVE-2023-6409,device-0039,20240814,20240914.0,Completed,David Brown,Medium,31
ra-0157,CVE-2021-4356,device-0008,20250127,20250209.0,Completed,Jane Doe,Medium,13
ra-0158,CVE-2021-6347,device-0037,20240407,20240428.0,Completed,Bob Johnson,Medium,21
ra-0159,CVE-2021-2750,device-0091,20240215,,Not Started,John Smith,Medium,380
ra-0160,CVE-2020-2772,device-0070,20240108,20240125.0,Completed,Alice Williams,Critical,17
ra-0161,CVE-2024-3433,device-0036,20241026,20241203.0,Completed,Bob Johnson,Critical,38
ra-0162,CVE-2020-7748,device-0093,20240918,20241025.0,Completed,Bob Johnson,Critical,37
ra-0163,CVE-2020-7361,device-0056,20240719,,Not Started,Alice Williams,High,225
ra-0164,CVE-2022-2165,device-0099,20240914,20240922.0,Completed,Jane Doe,Medium,8
ra-0165,CVE-2023-1785,device-0064,20241128,20241230.0,Completed,David Brown,High,32
ra-0166,CVE-2020-6995,device-0077,20241105,,In Progress,David Brown,Low,116
ra-0167,CVE-2024-8415,device-0062,20240119,20240225.0,Completed,Alice Williams,High,37
